"","estimate","se","lcl","ucl"
"S:(Intercept)",1.2369843,0.0511414,1.1367471,1.3372215
"S:species2",0.0848884,0.0675984,-0.0476045,0.2173814
"S:species3",0.2107806,0.0576517,0.0977833,0.323778
"S:species4",-0.0682455,0.0571799,-0.1803182,0.0438272
"S:species5",-0.6649067,0.1099898,-0.8804867,-0.4493267
"S:species6",-0.4730409,0.1106155,-0.6898473,-0.2562344
"S:species7",-0.7722632,0.1704096,-1.1062659,-0.4382604
"S:species8",-1.09922,0.1238242,-1.3419154,-0.8565247
"S:species9",-1.5113107,0.1673057,-1.8392299,-1.1833915
"S:species10",-0.56094,0.1486411,-0.8522765,-0.2696034
"S:species11",0.1325613,0.162011,-0.1849801,0.4501028
"S:species12",-0.0523181,0.0758087,-0.2009031,0.096267
"S:species13",0.3315969,0.1896026,-0.0400243,0.703218
"p:(Intercept)",0.2197838,0.0187657,0.183003,0.2565646
"p:guild2",-1.3255948,0.1060171,-1.5333884,-1.1178011
"p:guild3",-1.0920118,0.1258467,-1.3386712,-0.8453523
"p:guild4",-0.4900514,0.0653392,-0.6181163,-0.3619866
"Psi:(Intercept)",-2.3538764,0.1073636,-2.564309,-2.1434438
"Psi:species2",0.434003,0.1326418,0.1740251,0.6939809
"Psi:species3",-0.1310325,0.1207791,-0.3677594,0.1056945
"Psi:species4",0.5520331,0.1243492,0.3083087,0.7957576
"Psi:species5",0.4999707,0.317013,-0.1213749,1.1213162
"Psi:species6",2.2545016,0.1999133,1.8626715,2.6463317
"Psi:species7",2.4279884,0.2927503,1.8541978,3.0017789
"Psi:species8",1.9834983,0.2642351,1.4655975,2.5013991
"Psi:species9",0.8032991,0.4297667,-0.0390436,1.6456417
"Psi:species10",1.5616364,0.2684399,1.0354942,2.0877786
"Psi:species11",1.1499116,0.3133517,0.5357422,1.7640811
"Psi:species12",2.3131801,0.1333765,2.051762,2.5745981
"Psi:species13",2.879966,0.2696577,2.3514369,3.4084951
