"","estimate","se","lcl","ucl"
"S:(Intercept)",1.4745198,0.3402682,0.807594,2.1414455
"p:(Intercept)",0.5378709,0.3451557,-0.1386342,1.214376
"Psi:(Intercept)",-1.2678339,0.4475645,-2.1450603,-0.3906076
