"","estimate","se","lcl","ucl","fixed","note"
"S s1 gfemale111 c261 c1 a0 o1 t261",0.7646624,0.0026111,0.7595062,0.7697415,"     ","                    "
"p s1 gfemale111 c261 c1 a1 o1 t262",0.5243605,0.0043701,0.5157889,0.5329178,"     ","                    "
"Psi s1 to2 gfemale111 c261 c1 a0 o1 t261",0.1401407,0.0033848,0.133637,0.1469072,"     ","                    "
"p s1 gfemale111 c261 c1 a6 o6 t267",0,0,0,0,"     "," Fixed              "
