"","estimate","se","lcl","ucl","fixed","note"
"S s1 gfemale4 c130 c1 a0 o1 t130",4.557756e-05,0,4.557756e-05,4.557756e-05,"     ","                    "
"p s1 gfemale4 c130 c1 a1 o1 t131",0.6773918,0.0052858,0.6669458,0.6876637,"     ","                    "
"Psi s1 to2 gfemale4 c130 c1 a0 o1 t130",0.013792,0,0.013792,0.013792,"     ","                    "
"p s1 gfemale4 c130 c1 a107 o107 t237",107,0,107,107,"     "," Fixed              "
"p s1 gfemale4 c131 c2 a106 o107 t237",356,0,356,356,"     "," Fixed              "
"p s1 gfemale4 c132 c3 a105 o107 t237",604,0,604,604,"     "," Fixed              "
"p s1 gfemale4 c133 c4 a104 o107 t237",851,0,851,851,"     "," Fixed              "
"p s1 gfemale4 c134 c5 a103 o107 t237",1097,0,1097,1097,"     "," Fixed              "
"p s1 gfemale4 c135 c6 a102 o107 t237",1342,0,1342,1342,"     "," Fixed              "
"p s1 gfemale4 c136 c7 a101 o107 t237",1586,0,1586,1586,"     "," Fixed              "
"p s1 gfemale4 c137 c8 a100 o107 t237",1829,0,1829,1829,"     "," Fixed              "
"p s1 gfemale4 c138 c9 a99 o107 t237",2071,0,2071,2071,"     "," Fixed              "
"p s1 gfemale4 c139 c10 a98 o107 t237",2312,0,2312,2312,"     "," Fixed              "
"p s1 gfemale4 c140 c11 a97 o107 t237",2552,0,2552,2552,"     "," Fixed              "
"p s1 gfemale4 c141 c12 a96 o107 t237",2791,0,2791,2791,"     "," Fixed              "
"p s1 gfemale4 c142 c13 a95 o107 t237",3029,0,3029,3029,"     "," Fixed              "
"p s1 gfemale4 c143 c14 a94 o107 t237",3266,0,3266,3266,"     "," Fixed              "
"p s1 gfemale4 c144 c15 a93 o107 t237",3502,0,3502,3502,"     "," Fixed              "
"p s1 gfemale4 c145 c16 a92 o107 t237",3737,0,3737,3737,"     "," Fixed              "
"p s1 gfemale4 c146 c17 a91 o107 t237",3971,0,3971,3971,"     "," Fixed              "
"p s1 gfemale4 c147 c18 a90 o107 t237",4204,0,4204,4204,"     "," Fixed              "
"p s1 gfemale4 c148 c19 a89 o107 t237",4436,0,4436,4436,"     "," Fixed              "
"p s1 gfemale4 c149 c20 a88 o107 t237",4667,0,4667,4667,"     "," Fixed              "
"p s1 gfemale4 c150 c21 a87 o107 t237",4897,0,4897,4897,"     "," Fixed              "
"p s1 gfemale4 c151 c22 a86 o107 t237",5126,0,5126,5126,"     "," Fixed              "
"p s1 gfemale4 c152 c23 a85 o107 t237",5354,0,5354,5354,"     "," Fixed              "
"p s1 gfemale4 c153 c24 a84 o107 t237",5581,0,5581,5581,"     "," Fixed              "
"p s1 gfemale4 c154 c25 a83 o107 t237",5807,0,5807,5807,"     "," Fixed              "
"p s1 gfemale4 c155 c26 a82 o107 t237",6032,0,6032,6032,"     "," Fixed              "
"p s1 gfemale4 c156 c27 a81 o107 t237",6256,0,6256,6256,"     "," Fixed              "
"p s1 gfemale4 c157 c28 a80 o107 t237",6479,0,6479,6479,"     "," Fixed              "
"p s1 gfemale4 c158 c29 a79 o107 t237",6701,0,6701,6701,"     "," Fixed              "
"p s1 gfemale4 c159 c30 a78 o107 t237",6922,0,6922,6922,"     "," Fixed              "
"p s1 gfemale4 c160 c31 a77 o107 t237",7142,0,7142,7142,"     "," Fixed              "
"p s1 gfemale4 c161 c32 a76 o107 t237",7361,0,7361,7361,"     "," Fixed              "
"p s1 gfemale4 c162 c33 a75 o107 t237",7579,0,7579,7579,"     "," Fixed              "
"p s1 gfemale4 c163 c34 a74 o107 t237",7796,0,7796,7796,"     "," Fixed              "
"p s1 gfemale4 c164 c35 a73 o107 t237",8012,0,8012,8012,"     "," Fixed              "
"p s1 gfemale4 c165 c36 a72 o107 t237",8227,0,8227,8227,"     "," Fixed              "
"p s1 gfemale4 c166 c37 a71 o107 t237",8441,0,8441,8441,"     "," Fixed              "
"p s1 gfemale4 c167 c38 a70 o107 t237",8654,0,8654,8654,"     "," Fixed              "
"p s1 gfemale4 c168 c39 a69 o107 t237",8866,0,8866,8866,"     "," Fixed              "
"p s1 gfemale4 c169 c40 a68 o107 t237",9077,0,9077,9077,"     "," Fixed              "
"p s1 gfemale4 c170 c41 a67 o107 t237",9287,0,9287,9287,"     "," Fixed              "
"p s1 gfemale4 c171 c42 a66 o107 t237",9496,0,9496,9496,"     "," Fixed              "
"p s1 gfemale4 c172 c43 a65 o107 t237",9704,0,9704,9704,"     "," Fixed              "
"p s1 gfemale4 c173 c44 a64 o107 t237",9911,0,9911,9911,"     "," Fixed              "
"p s1 gfemale4 c174 c45 a63 o107 t237",10117,0,10117,10117,"     "," Fixed              "
"p s1 gfemale4 c175 c46 a62 o107 t237",10322,0,10322,10322,"     "," Fixed              "
"p s1 gfemale4 c176 c47 a61 o107 t237",10526,0,10526,10526,"     "," Fixed              "
"p s1 gfemale4 c177 c48 a60 o107 t237",10729,0,10729,10729,"     "," Fixed              "
"p s1 gfemale4 c178 c49 a59 o107 t237",10931,0,10931,10931,"     "," Fixed              "
"p s1 gfemale4 c179 c50 a58 o107 t237",11132,0,11132,11132,"     "," Fixed              "
"p s1 gfemale4 c180 c51 a57 o107 t237",11332,0,11332,11332,"     "," Fixed              "
"p s1 gfemale4 c181 c52 a56 o107 t237",11531,0,11531,11531,"     "," Fixed              "
"p s1 gfemale4 c182 c53 a55 o107 t237",11729,0,11729,11729,"     "," Fixed              "
"p s1 gfemale4 c183 c54 a54 o107 t237",11926,0,11926,11926,"     "," Fixed              "
"p s1 gfemale4 c184 c55 a53 o107 t237",12122,0,12122,12122,"     "," Fixed              "
"p s1 gfemale4 c185 c56 a52 o107 t237",12317,0,12317,12317,"     "," Fixed              "
"p s1 gfemale4 c186 c57 a51 o107 t237",12511,0,12511,12511,"     "," Fixed              "
"p s1 gfemale4 c187 c58 a50 o107 t237",12704,0,12704,12704,"     "," Fixed              "
"p s1 gfemale4 c188 c59 a49 o107 t237",12896,0,12896,12896,"     "," Fixed              "
"p s1 gfemale4 c189 c60 a48 o107 t237",13087,0,13087,13087,"     "," Fixed              "
"p s1 gfemale4 c190 c61 a47 o107 t237",13277,0,13277,13277,"     "," Fixed              "
"p s1 gfemale4 c191 c62 a46 o107 t237",13466,0,13466,13466,"     "," Fixed              "
"p s1 gfemale4 c192 c63 a45 o107 t237",13654,0,13654,13654,"     "," Fixed              "
"p s1 gfemale4 c193 c64 a44 o107 t237",13841,0,13841,13841,"     "," Fixed              "
"p s1 gfemale4 c194 c65 a43 o107 t237",14027,0,14027,14027,"     "," Fixed              "
"p s1 gfemale4 c195 c66 a42 o107 t237",14212,0,14212,14212,"     "," Fixed              "
"p s1 gfemale4 c196 c67 a41 o107 t237",14396,0,14396,14396,"     "," Fixed              "
"p s1 gfemale4 c197 c68 a40 o107 t237",14579,0,14579,14579,"     "," Fixed              "
"p s1 gfemale4 c198 c69 a39 o107 t237",14761,0,14761,14761,"     "," Fixed              "
"p s1 gfemale4 c199 c70 a38 o107 t237",14942,0,14942,14942,"     "," Fixed              "
"p s1 gfemale4 c200 c71 a37 o107 t237",15122,0,15122,15122,"     "," Fixed              "
"p s1 gfemale4 c201 c72 a36 o107 t237",15301,0,15301,15301,"     "," Fixed              "
"p s1 gfemale4 c202 c73 a35 o107 t237",15479,0,15479,15479,"     "," Fixed              "
"p s1 gfemale4 c203 c74 a34 o107 t237",15656,0,15656,15656,"     "," Fixed              "
"p s1 gfemale4 c204 c75 a33 o107 t237",15832,0,15832,15832,"     "," Fixed              "
"p s1 gfemale4 c205 c76 a32 o107 t237",16007,0,16007,16007,"     "," Fixed              "
"p s1 gfemale4 c206 c77 a31 o107 t237",16181,0,16181,16181,"     "," Fixed              "
"p s1 gfemale4 c207 c78 a30 o107 t237",16354,0,16354,16354,"     "," Fixed              "
"p s1 gfemale4 c208 c79 a29 o107 t237",16526,0,16526,16526,"     "," Fixed              "
"p s1 gfemale4 c209 c80 a28 o107 t237",16697,0,16697,16697,"     "," Fixed              "
"p s1 gfemale4 c210 c81 a27 o107 t237",16867,0,16867,16867,"     "," Fixed              "
"p s1 gfemale4 c211 c82 a26 o107 t237",17036,0,17036,17036,"     "," Fixed              "
"p s1 gfemale4 c212 c83 a25 o107 t237",17204,0,17204,17204,"     "," Fixed              "
"p s1 gfemale4 c213 c84 a24 o107 t237",17371,0,17371,17371,"     "," Fixed              "
"p s1 gfemale4 c214 c85 a23 o107 t237",17537,0,17537,17537,"     "," Fixed              "
"p s1 gfemale4 c215 c86 a22 o107 t237",17702,0,17702,17702,"     "," Fixed              "
"p s1 gfemale4 c216 c87 a21 o107 t237",17866,0,17866,17866,"     "," Fixed              "
"p s1 gfemale4 c217 c88 a20 o107 t237",18029,0,18029,18029,"     "," Fixed              "
"p s1 gfemale4 c218 c89 a19 o107 t237",18191,0,18191,18191,"     "," Fixed              "
"p s1 gfemale4 c219 c90 a18 o107 t237",18352,0,18352,18352,"     "," Fixed              "
"p s1 gfemale4 c220 c91 a17 o107 t237",18512,0,18512,18512,"     "," Fixed              "
"p s1 gfemale4 c221 c92 a16 o107 t237",18671,0,18671,18671,"     "," Fixed              "
"p s1 gfemale4 c222 c93 a15 o107 t237",18829,0,18829,18829,"     "," Fixed              "
