"","estimate","se","lcl","ucl","fixed","note"
"p s1 gfemale4 c223 c94 a14 o107 t237",18986,0,18986,18986,"     "," Fixed              "
"p s1 gfemale4 c224 c95 a13 o107 t237",19142,0,19142,19142,"     "," Fixed              "
"p s1 gfemale4 c225 c96 a12 o107 t237",19297,0,19297,19297,"     "," Fixed              "
"p s1 gfemale4 c226 c97 a11 o107 t237",19451,0,19451,19451,"     "," Fixed              "
"p s1 gfemale4 c227 c98 a10 o107 t237",19604,0,19604,19604,"     "," Fixed              "
"p s1 gfemale4 c228 c99 a9 o107 t237",19756,0,19756,19756,"     "," Fixed              "
"p s1 gfemale4 c229 c100 a8 o107 t237",19907,0,19907,19907,"     "," Fixed              "
"p s1 gfemale4 c230 c101 a7 o107 t237",20057,0,20057,20057,"     "," Fixed              "
"p s1 gfemale4 c231 c102 a6 o107 t237",20206,0,20206,20206,"     "," Fixed              "
"p s1 gfemale4 c232 c103 a5 o107 t237",20354,0,20354,20354,"     "," Fixed              "
"p s1 gfemale4 c233 c104 a4 o107 t237",20501,0,20501,20501,"     "," Fixed              "
"p s1 gfemale4 c234 c105 a3 o107 t237",20647,0,20647,20647,"     "," Fixed              "
"p s1 gfemale4 c235 c106 a2 o107 t237",20792,0,20792,20792,"     "," Fixed              "
"p s1 gfemale4 c236 c107 a1 o107 t237",20936,0,20936,20936,"     "," Fixed              "
"p s2 gfemale4 c130 c1 a107 o107 t237",31482,0,31482,31482,"     "," Fixed              "
"p s2 gfemale4 c131 c2 a106 o107 t237",31731,0,31731,31731,"     "," Fixed              "
"p s2 gfemale4 c132 c3 a105 o107 t237",31979,0,31979,31979,"     "," Fixed              "
"p s2 gfemale4 c133 c4 a104 o107 t237",32226,0,32226,32226,"     "," Fixed              "
"p s2 gfemale4 c134 c5 a103 o107 t237",32472,0,32472,32472,"     "," Fixed              "
"p s2 gfemale4 c135 c6 a102 o107 t237",32717,0,32717,32717,"     "," Fixed              "
"p s2 gfemale4 c136 c7 a101 o107 t237",32961,0,32961,32961,"     "," Fixed              "
"p s2 gfemale4 c137 c8 a100 o107 t237",33204,0,33204,33204,"     "," Fixed              "
"p s2 gfemale4 c138 c9 a99 o107 t237",33446,0,33446,33446,"     "," Fixed              "
"p s2 gfemale4 c139 c10 a98 o107 t237",33687,0,33687,33687,"     "," Fixed              "
"p s2 gfemale4 c140 c11 a97 o107 t237",33927,0,33927,33927,"     "," Fixed              "
"p s2 gfemale4 c141 c12 a96 o107 t237",34166,0,34166,34166,"     "," Fixed              "
"p s2 gfemale4 c142 c13 a95 o107 t237",34404,0,34404,34404,"     "," Fixed              "
"p s2 gfemale4 c143 c14 a94 o107 t237",34641,0,34641,34641,"     "," Fixed              "
"p s2 gfemale4 c144 c15 a93 o107 t237",34877,0,34877,34877,"     "," Fixed              "
"p s2 gfemale4 c145 c16 a92 o107 t237",35112,0,35112,35112,"     "," Fixed              "
"p s2 gfemale4 c146 c17 a91 o107 t237",35346,0,35346,35346,"     "," Fixed              "
"p s2 gfemale4 c147 c18 a90 o107 t237",35579,0,35579,35579,"     "," Fixed              "
"p s2 gfemale4 c148 c19 a89 o107 t237",35811,0,35811,35811,"     "," Fixed              "
"p s2 gfemale4 c149 c20 a88 o107 t237",36042,0,36042,36042,"     "," Fixed              "
"p s2 gfemale4 c150 c21 a87 o107 t237",36272,0,36272,36272,"     "," Fixed              "
"p s2 gfemale4 c151 c22 a86 o107 t237",36501,0,36501,36501,"     "," Fixed              "
"p s2 gfemale4 c152 c23 a85 o107 t237",36729,0,36729,36729,"     "," Fixed              "
"p s2 gfemale4 c153 c24 a84 o107 t237",36956,0,36956,36956,"     "," Fixed              "
"p s2 gfemale4 c154 c25 a83 o107 t237",37182,0,37182,37182,"     "," Fixed              "
"p s2 gfemale4 c155 c26 a82 o107 t237",37407,0,37407,37407,"     "," Fixed              "
"p s2 gfemale4 c156 c27 a81 o107 t237",37631,0,37631,37631,"     "," Fixed              "
"p s2 gfemale4 c157 c28 a80 o107 t237",37854,0,37854,37854,"     "," Fixed              "
"p s2 gfemale4 c158 c29 a79 o107 t237",38076,0,38076,38076,"     "," Fixed              "
"p s2 gfemale4 c159 c30 a78 o107 t237",38297,0,38297,38297,"     "," Fixed              "
"p s2 gfemale4 c160 c31 a77 o107 t237",38517,0,38517,38517,"     "," Fixed              "
"p s2 gfemale4 c161 c32 a76 o107 t237",38736,0,38736,38736,"     "," Fixed              "
"p s2 gfemale4 c162 c33 a75 o107 t237",38954,0,38954,38954,"     "," Fixed              "
"p s2 gfemale4 c163 c34 a74 o107 t237",39171,0,39171,39171,"     "," Fixed              "
"p s2 gfemale4 c164 c35 a73 o107 t237",39387,0,39387,39387,"     "," Fixed              "
"p s2 gfemale4 c165 c36 a72 o107 t237",39602,0,39602,39602,"     "," Fixed              "
"p s2 gfemale4 c166 c37 a71 o107 t237",39816,0,39816,39816,"     "," Fixed              "
"p s2 gfemale4 c167 c38 a70 o107 t237",40029,0,40029,40029,"     "," Fixed              "
"p s2 gfemale4 c168 c39 a69 o107 t237",40241,0,40241,40241,"     "," Fixed              "
"p s2 gfemale4 c169 c40 a68 o107 t237",40452,0,40452,40452,"     "," Fixed              "
"p s2 gfemale4 c170 c41 a67 o107 t237",40662,0,40662,40662,"     "," Fixed              "
"p s2 gfemale4 c171 c42 a66 o107 t237",40871,0,40871,40871,"     "," Fixed              "
"p s2 gfemale4 c172 c43 a65 o107 t237",41079,0,41079,41079,"     "," Fixed              "
"p s2 gfemale4 c173 c44 a64 o107 t237",41286,0,41286,41286,"     "," Fixed              "
"p s2 gfemale4 c174 c45 a63 o107 t237",41492,0,41492,41492,"     "," Fixed              "
"p s2 gfemale4 c175 c46 a62 o107 t237",41697,0,41697,41697,"     "," Fixed              "
"p s2 gfemale4 c176 c47 a61 o107 t237",41901,0,41901,41901,"     "," Fixed              "
"p s2 gfemale4 c177 c48 a60 o107 t237",42104,0,42104,42104,"     "," Fixed              "
"p s2 gfemale4 c178 c49 a59 o107 t237",42306,0,42306,42306,"     "," Fixed              "
"p s2 gfemale4 c179 c50 a58 o107 t237",42507,0,42507,42507,"     "," Fixed              "
"p s2 gfemale4 c180 c51 a57 o107 t237",42707,0,42707,42707,"     "," Fixed              "
"p s2 gfemale4 c181 c52 a56 o107 t237",42906,0,42906,42906,"     "," Fixed              "
"p s2 gfemale4 c182 c53 a55 o107 t237",43104,0,43104,43104,"     "," Fixed              "
"p s2 gfemale4 c183 c54 a54 o107 t237",43301,0,43301,43301,"     "," Fixed              "
"p s2 gfemale4 c184 c55 a53 o107 t237",43497,0,43497,43497,"     "," Fixed              "
"p s2 gfemale4 c185 c56 a52 o107 t237",43692,0,43692,43692,"     "," Fixed              "
"p s2 gfemale4 c186 c57 a51 o107 t237",43886,0,43886,43886,"     "," Fixed              "
"p s2 gfemale4 c187 c58 a50 o107 t237",44079,0,44079,44079,"     "," Fixed              "
"p s2 gfemale4 c188 c59 a49 o107 t237",44271,0,44271,44271,"     "," Fixed              "
"p s2 gfemale4 c189 c60 a48 o107 t237",44462,0,44462,44462,"     "," Fixed              "
"p s2 gfemale4 c190 c61 a47 o107 t237",44652,0,44652,44652,"     "," Fixed              "
"p s2 gfemale4 c191 c62 a46 o107 t237",44841,0,44841,44841,"     "," Fixed              "
"p s2 gfemale4 c192 c63 a45 o107 t237",45029,0,45029,45029,"     "," Fixed              "
"p s2 gfemale4 c193 c64 a44 o107 t237",45216,0,45216,45216,"     "," Fixed              "
"p s2 gfemale4 c194 c65 a43 o107 t237",45402,0,45402,45402,"     "," Fixed              "
"p s2 gfemale4 c195 c66 a42 o107 t237",45587,0,45587,45587,"     "," Fixed              "
"p s2 gfemale4 c196 c67 a41 o107 t237",45771,0,45771,45771,"     "," Fixed              "
"p s2 gfemale4 c197 c68 a40 o107 t237",45954,0,45954,45954,"     "," Fixed              "
"p s2 gfemale4 c198 c69 a39 o107 t237",46136,0,46136,46136,"     "," Fixed              "
"p s2 gfemale4 c199 c70 a38 o107 t237",46317,0,46317,46317,"     "," Fixed              "
"p s2 gfemale4 c200 c71 a37 o107 t237",46497,0,46497,46497,"     "," Fixed              "
"p s2 gfemale4 c201 c72 a36 o107 t237",46676,0,46676,46676,"     "," Fixed              "
"p s2 gfemale4 c202 c73 a35 o107 t237",46854,0,46854,46854,"     "," Fixed              "
"p s2 gfemale4 c203 c74 a34 o107 t237",47031,0,47031,47031,"     "," Fixed              "
"p s2 gfemale4 c204 c75 a33 o107 t237",47207,0,47207,47207,"     "," Fixed              "
"p s2 gfemale4 c205 c76 a32 o107 t237",47382,0,47382,47382,"     "," Fixed              "
"p s2 gfemale4 c206 c77 a31 o107 t237",47556,0,47556,47556,"     "," Fixed              "
"p s2 gfemale4 c207 c78 a30 o107 t237",47729,0,47729,47729,"     "," Fixed              "
"p s2 gfemale4 c208 c79 a29 o107 t237",47901,0,47901,47901,"     "," Fixed              "
"p s2 gfemale4 c209 c80 a28 o107 t237",48072,0,48072,48072,"     "," Fixed              "
"p s2 gfemale4 c210 c81 a27 o107 t237",48242,0,48242,48242,"     "," Fixed              "
"p s2 gfemale4 c211 c82 a26 o107 t237",48411,0,48411,48411,"     "," Fixed              "
"p s2 gfemale4 c212 c83 a25 o107 t237",48579,0,48579,48579,"     "," Fixed              "
"p s2 gfemale4 c213 c84 a24 o107 t237",48746,0,48746,48746,"     "," Fixed              "
"p s2 gfemale4 c214 c85 a23 o107 t237",48912,0,48912,48912,"     "," Fixed              "
"p s2 gfemale4 c215 c86 a22 o107 t237",49077,0,49077,49077,"     "," Fixed              "
"p s2 gfemale4 c216 c87 a21 o107 t237",49241,0,49241,49241,"     "," Fixed              "
"p s2 gfemale4 c217 c88 a20 o107 t237",49404,0,49404,49404,"     "," Fixed              "
"p s2 gfemale4 c218 c89 a19 o107 t237",49566,0,49566,49566,"     "," Fixed              "
"p s2 gfemale4 c219 c90 a18 o107 t237",49727,0,49727,49727,"     "," Fixed              "
"p s2 gfemale4 c220 c91 a17 o107 t237",49887,0,49887,49887,"     "," Fixed              "
"p s2 gfemale4 c221 c92 a16 o107 t237",50046,0,50046,50046,"     "," Fixed              "
"p s2 gfemale4 c222 c93 a15 o107 t237",50204,0,50204,50204,"     "," Fixed              "
"p s2 gfemale4 c223 c94 a14 o107 t237",50361,0,50361,50361,"     "," Fixed              "
"p s2 gfemale4 c224 c95 a13 o107 t237",50517,0,50517,50517,"     "," Fixed              "
"p s2 gfemale4 c225 c96 a12 o107 t237",50672,0,50672,50672,"     "," Fixed              "
"p s2 gfemale4 c226 c97 a11 o107 t237",50826,0,50826,50826,"     "," Fixed              "
"p s2 gfemale4 c227 c98 a10 o107 t237",50979,0,50979,50979,"     "," Fixed              "
"p s2 gfemale4 c228 c99 a9 o107 t237",51131,0,51131,51131,"     "," Fixed              "
"p s2 gfemale4 c229 c100 a8 o107 t237",51282,0,51282,51282,"     "," Fixed              "
"p s2 gfemale4 c230 c101 a7 o107 t237",51432,0,51432,51432,"     "," Fixed              "
"p s2 gfemale4 c231 c102 a6 o107 t237",51581,0,51581,51581,"     "," Fixed              "
"p s2 gfemale4 c232 c103 a5 o107 t237",51729,0,51729,51729,"     "," Fixed              "
"p s2 gfemale4 c233 c104 a4 o107 t237",51876,0,51876,51876,"     "," Fixed              "
"p s2 gfemale4 c234 c105 a3 o107 t237",52022,0,52022,52022,"     "," Fixed              "
"p s2 gfemale4 c235 c106 a2 o107 t237",52167,0,52167,52167,"     "," Fixed              "
"p s2 gfemale4 c236 c107 a1 o107 t237",52311,0,52311,52311,"     "," Fixed              "
"p s1 gmale4 c130 c1 a107 o107 t237",62857,0,62857,62857,"     "," Fixed              "
"p s1 gmale4 c131 c2 a106 o107 t237",63106,0,63106,63106,"     "," Fixed              "
"p s1 gmale4 c132 c3 a105 o107 t237",63354,0,63354,63354,"     "," Fixed              "
"p s1 gmale4 c133 c4 a104 o107 t237",63601,0,63601,63601,"     "," Fixed              "
"p s1 gmale4 c134 c5 a103 o107 t237",63847,0,63847,63847,"     "," Fixed              "
"p s1 gmale4 c135 c6 a102 o107 t237",64092,0,64092,64092,"     "," Fixed              "
"p s1 gmale4 c136 c7 a101 o107 t237",64336,0,64336,64336,"     "," Fixed              "
"p s1 gmale4 c137 c8 a100 o107 t237",64579,0,64579,64579,"     "," Fixed              "
"p s1 gmale4 c138 c9 a99 o107 t237",64821,0,64821,64821,"     "," Fixed              "
"p s1 gmale4 c139 c10 a98 o107 t237",65062,0,65062,65062,"     "," Fixed              "
"p s1 gmale4 c140 c11 a97 o107 t237",65302,0,65302,65302,"     "," Fixed              "
"p s1 gmale4 c141 c12 a96 o107 t237",65541,0,65541,65541,"     "," Fixed              "
"p s1 gmale4 c142 c13 a95 o107 t237",65779,0,65779,65779,"     "," Fixed              "
"p s1 gmale4 c143 c14 a94 o107 t237",66016,0,66016,66016,"     "," Fixed              "
"p s1 gmale4 c144 c15 a93 o107 t237",66252,0,66252,66252,"     "," Fixed              "
"p s1 gmale4 c145 c16 a92 o107 t237",66487,0,66487,66487,"     "," Fixed              "
"p s1 gmale4 c146 c17 a91 o107 t237",66721,0,66721,66721,"     "," Fixed              "
"p s1 gmale4 c147 c18 a90 o107 t237",66954,0,66954,66954,"     "," Fixed              "
"p s1 gmale4 c148 c19 a89 o107 t237",67186,0,67186,67186,"     "," Fixed              "
"p s1 gmale4 c149 c20 a88 o107 t237",67417,0,67417,67417,"     "," Fixed              "
"p s1 gmale4 c150 c21 a87 o107 t237",67647,0,67647,67647,"     "," Fixed              "
"p s1 gmale4 c151 c22 a86 o107 t237",67876,0,67876,67876,"     "," Fixed              "
"p s1 gmale4 c152 c23 a85 o107 t237",68104,0,68104,68104,"     "," Fixed              "
"p s1 gmale4 c153 c24 a84 o107 t237",68331,0,68331,68331,"     "," Fixed              "
"p s1 gmale4 c154 c25 a83 o107 t237",68557,0,68557,68557,"     "," Fixed              "
"p s1 gmale4 c155 c26 a82 o107 t237",68782,0,68782,68782,"     "," Fixed              "
"p s1 gmale4 c156 c27 a81 o107 t237",69006,0,69006,69006,"     "," Fixed              "
"p s1 gmale4 c157 c28 a80 o107 t237",69229,0,69229,69229,"     "," Fixed              "
"p s1 gmale4 c158 c29 a79 o107 t237",69451,0,69451,69451,"     "," Fixed              "
"p s1 gmale4 c159 c30 a78 o107 t237",69672,0,69672,69672,"     "," Fixed              "
"p s1 gmale4 c160 c31 a77 o107 t237",69892,0,69892,69892,"     "," Fixed              "
"p s1 gmale4 c161 c32 a76 o107 t237",70111,0,70111,70111,"     "," Fixed              "
"p s1 gmale4 c162 c33 a75 o107 t237",70329,0,70329,70329,"     "," Fixed              "
"p s1 gmale4 c163 c34 a74 o107 t237",70546,0,70546,70546,"     "," Fixed              "
"p s1 gmale4 c164 c35 a73 o107 t237",70762,0,70762,70762,"     "," Fixed              "
"p s1 gmale4 c165 c36 a72 o107 t237",70977,0,70977,70977,"     "," Fixed              "
"p s1 gmale4 c166 c37 a71 o107 t237",71191,0,71191,71191,"     "," Fixed              "
"p s1 gmale4 c167 c38 a70 o107 t237",71404,0,71404,71404,"     "," Fixed              "
"p s1 gmale4 c168 c39 a69 o107 t237",71616,0,71616,71616,"     "," Fixed              "
"p s1 gmale4 c169 c40 a68 o107 t237",71827,0,71827,71827,"     "," Fixed              "
"p s1 gmale4 c170 c41 a67 o107 t237",72037,0,72037,72037,"     "," Fixed              "
"p s1 gmale4 c171 c42 a66 o107 t237",72246,0,72246,72246,"     "," Fixed              "
"p s1 gmale4 c172 c43 a65 o107 t237",72454,0,72454,72454,"     "," Fixed              "
"p s1 gmale4 c173 c44 a64 o107 t237",72661,0,72661,72661,"     "," Fixed              "
"p s1 gmale4 c174 c45 a63 o107 t237",72867,0,72867,72867,"     "," Fixed              "
"p s1 gmale4 c175 c46 a62 o107 t237",73072,0,73072,73072,"     "," Fixed              "
"p s1 gmale4 c176 c47 a61 o107 t237",73276,0,73276,73276,"     "," Fixed              "
"p s1 gmale4 c177 c48 a60 o107 t237",73479,0,73479,73479,"     "," Fixed              "
"p s1 gmale4 c178 c49 a59 o107 t237",73681,0,73681,73681,"     "," Fixed              "
"p s1 gmale4 c179 c50 a58 o107 t237",73882,0,73882,73882,"     "," Fixed              "
"p s1 gmale4 c180 c51 a57 o107 t237",74082,0,74082,74082,"     "," Fixed              "
"p s1 gmale4 c181 c52 a56 o107 t237",74281,0,74281,74281,"     "," Fixed              "
"p s1 gmale4 c182 c53 a55 o107 t237",74479,0,74479,74479,"     "," Fixed              "
"p s1 gmale4 c183 c54 a54 o107 t237",74676,0,74676,74676,"     "," Fixed              "
"p s1 gmale4 c184 c55 a53 o107 t237",74872,0,74872,74872,"     "," Fixed              "
"p s1 gmale4 c185 c56 a52 o107 t237",75067,0,75067,75067,"     "," Fixed              "
"p s1 gmale4 c186 c57 a51 o107 t237",75261,0,75261,75261,"     "," Fixed              "
"p s1 gmale4 c187 c58 a50 o107 t237",75454,0,75454,75454,"     "," Fixed              "
"p s1 gmale4 c188 c59 a49 o107 t237",75646,0,75646,75646,"     "," Fixed              "
"p s1 gmale4 c189 c60 a48 o107 t237",75837,0,75837,75837,"     "," Fixed              "
"p s1 gmale4 c190 c61 a47 o107 t237",76027,0,76027,76027,"     "," Fixed              "
"p s1 gmale4 c191 c62 a46 o107 t237",76216,0,76216,76216,"     "," Fixed              "
"p s1 gmale4 c192 c63 a45 o107 t237",76404,0,76404,76404,"     "," Fixed              "
"p s1 gmale4 c193 c64 a44 o107 t237",76591,0,76591,76591,"     "," Fixed              "
"p s1 gmale4 c194 c65 a43 o107 t237",76777,0,76777,76777,"     "," Fixed              "
"p s1 gmale4 c195 c66 a42 o107 t237",76962,0,76962,76962,"     "," Fixed              "
"p s1 gmale4 c196 c67 a41 o107 t237",77146,0,77146,77146,"     "," Fixed              "
"p s1 gmale4 c197 c68 a40 o107 t237",77329,0,77329,77329,"     "," Fixed              "
"p s1 gmale4 c198 c69 a39 o107 t237",77511,0,77511,77511,"     "," Fixed              "
"p s1 gmale4 c199 c70 a38 o107 t237",77692,0,77692,77692,"     "," Fixed              "
"p s1 gmale4 c200 c71 a37 o107 t237",77872,0,77872,77872,"     "," Fixed              "
"p s1 gmale4 c201 c72 a36 o107 t237",78051,0,78051,78051,"     "," Fixed              "
"p s1 gmale4 c202 c73 a35 o107 t237",78229,0,78229,78229,"     "," Fixed              "
"p s1 gmale4 c203 c74 a34 o107 t237",78406,0,78406,78406,"     "," Fixed              "
