"","estimate","se","lcl","ucl"
"S:(Intercept)",1.1260348,0.0420536,1.0436098,1.2084598
"p:(Intercept)",-0.3188779,0.0505812,-0.4180171,-0.2197387
"Psi:(Intercept)",0.1502006,0.2743681,-0.387561,0.6879621
"Psi:movement",-2.2471716,0.2434013,-2.7242383,-1.770105
