"","estimate","se","lcl","ucl","fixed","note"
"S s1 gRF c130 c1 a0 o1 t130",0.8137434,0.0515728,0.6915966,0.8948667,"     ","                    "
"p s1 gRF c130 c1 a1 o1 t131",0.631317,0.080337,0.4653968,0.7710723,"     ","                    "
"Psi s1 to2 gRF c130 c1 a0 o1 t130",0.2196283,0.0767088,0.1047937,0.4035711,"     ","                    "
"p s1 gRF c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
