"","estimate","se","lcl","ucl","fixed","note"
"S s1 gPB c130 c1 a0 o1 t130",0.8390773,0.0033764,0.832349,0.8455856,"     ","                    "
"p s1 gPB c130 c1 a1 o1 t131",0.5613597,0.0059669,0.5496326,0.5730187,"     ","                    "
"Psi s1 to2 gPB c130 c1 a0 o1 t130",0.0428214,0.0027277,0.0377827,0.0484982,"     ","                    "
"Psi s2 to1 gPB c130 c1 a0 o1 t130",0.3364629,0.0352889,0.2711286,0.4087127,"     ","                    "
"p s1 gPB c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
