"","estimate","se","lcl","ucl","fixed","note"
"S s1 gOT c130 c1 a0 o1 t130",0.7551064,0.0077766,0.7395459,0.7700263,"     ","                    "
"p s1 gOT c130 c1 a1 o1 t131",0.4209492,0.0123292,0.3969913,0.4452853,"     ","                    "
"Psi s1 to2 gOT c130 c1 a0 o1 t130",0.1093916,0.010678,0.0901511,0.1321421,"     ","                    "
"Psi s2 to1 gOT c130 c1 a0 o1 t130",0.5374797,0.0682066,0.4043046,0.6655134,"     ","                    "
"p s1 gOT c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
