"","estimate","se","lcl","ucl"
"S:(Intercept)",1.6206175,0.0253456,1.5709401,1.6702949
"p:(Intercept)",-1.3373738,0.0283194,-1.3928799,-1.2818677
"Psi:(Intercept)",-0.1520541,0.1827548,-0.5102536,0.2061454
"Psi:movement",-2.1612646,0.156808,-2.4686083,-1.8539209
