"","estimate","se","lcl","ucl","fixed","note"
"S s1 gSF c130 c1 a0 o1 t130",0.6609993,0.0283425,0.6034453,0.7141569,"     ","                    "
"p s1 gSF c130 c1 a1 o1 t131",0.3514322,0.0390829,0.2791198,0.431271,"     ","                    "
"Psi s1 to2 gSF c130 c1 a0 o1 t130",0.1860904,0.0419836,0.1172316,0.2824538,"     ","                    "
"Psi s2 to1 gSF c130 c1 a0 o1 t130",0.5362647,0.218431,0.1713285,0.8660956,"     ","                    "
"p s1 gSF c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
