"","estimate","se","lcl","ucl"
"S:(Intercept)",1.3103125,0.3130255,0.6967825,1.9238425
"p:(Intercept)",-1.0914532,0.380998,-1.8382093,-0.3446971
"Psi:(Intercept)",-2.7897956,0.8249327,-4.4066637,-1.1729275
