"","estimate","se","lcl","ucl"
"S:(Intercept)",1.6513784,0.0250057,1.6023673,1.7003895
"p:(Intercept)",0.2466823,0.0242327,0.1991863,0.2941783
"Psi:(Intercept)",-0.679097,0.1580649,-0.9889043,-0.3692897
"Psi:movement",-2.4278551,0.1536406,-2.7289906,-2.1267196
