"","estimate","se","lcl","ucl"
"S:(Intercept)",-0.1753452,0.2563818,-0.6778535,0.3271632
"p:(Intercept)",-0.2416403,0.4338215,-1.0919305,0.6086499
"Psi:(Intercept)",-1.9984808,0.5583519,-3.0928505,-0.9041111
