"","estimate","se","lcl","ucl"
"S:(Intercept)",1.2849175,0.016173,1.2532185,1.3166166
"S:guild2",-0.7863798,0.0765984,-0.9365126,-0.636247
"S:guild3",-0.6450937,0.091294,-0.8240299,-0.4661574
"S:guild4",-0.065401,0.0560023,-0.1751655,0.0443635
"p:(Intercept)",0.2160828,0.0187732,0.1792875,0.2528782
"p:guild2",-1.3649567,0.1058773,-1.5724761,-1.1574373
"p:guild3",-1.2666776,0.1251321,-1.5119366,-1.0214186
"p:guild4",-0.4880042,0.0653287,-0.6160486,-0.3599599
"Psi:(Intercept)",-2.1843528,0.0342756,-2.2515329,-2.1171728
"Psi:guild2",2.0488015,0.1275989,1.7987075,2.2988954
"Psi:guild3",1.1003413,0.1739735,0.7593532,1.4413295
"Psi:guild4",2.1984563,0.0825642,2.0366306,2.3602821
