"","estimate","se","lcl","ucl","fixed","note"
"S s1 gPI c130 c1 a0 o1 t130",0.7875655,0.0523711,0.667474,0.8725663,"     ","                    "
"p s1 gPI c130 c1 a1 o1 t131",0.2513447,0.0716926,0.1372632,0.4146689,"     ","                    "
"Psi s1 to2 gPI c130 c1 a0 o1 t130",0.0578781,0.0449821,0.0120489,0.2363262,"     ","                    "
"p s1 gPI c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
