"","estimate","se","lcl","ucl"
"S:(Intercept)",0.5193105,0.1118209,0.3001415,0.7384796
"p:(Intercept)",-0.7498829,0.156986,-1.0575755,-0.4421904
"Psi:(Intercept)",0.6278843,0.6829445,-0.7106869,1.9664555
"Psi:movement",-2.2887191,0.6499034,-3.5625299,-1.0149084
