"","estimate","se","lcl","ucl","fixed","note"
"S s1 gNAO c130 c1 a0 o1 t130",0.7931653,0.013178,0.7661451,0.8178059,"     ","                    "
"p s1 gNAO c130 c1 a1 o1 t131",0.3343596,0.0202746,0.2958621,0.3751973,"     ","                    "
"Psi s1 to2 gNAO c130 c1 a0 o1 t130",0.1039003,0.0196129,0.0712596,0.1490922,"     ","                    "
"Psi s2 to1 gNAO c130 c1 a0 o1 t130",0.457354,0.1020797,0.2734539,0.6536608,"     ","                    "
"p s1 gNAO c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
