"","estimate","se","lcl","ucl","fixed","note"
"S s1 gRM c130 c1 a0 o1 t130",0.6299741,0.0125309,0.6050959,0.6541808,"     ","                    "
"p s1 gRM c130 c1 a1 o1 t131",0.2736667,0.0147336,0.2457556,0.3034723,"     ","                    "
"Psi s1 to2 gRM c130 c1 a0 o1 t130",0.3330532,0.0243649,0.2871233,0.3823892,"     ","                    "
"p s1 gRM c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
