"","estimate","se","lcl","ucl"
"S:(Intercept)",0.6677544,0.1264843,0.419845,0.9156637
"p:(Intercept)",-0.612762,0.1714706,-0.9488443,-0.2766797
"Psi:(Intercept)",-1.776717,0.2632253,-2.2926386,-1.2607954
