"","estimate","se","lcl","ucl"
"S:(Intercept)",0.5456702,0.0802656,0.3883496,0.7029909
"p:(Intercept)",-0.7730781,0.1125895,-0.9937535,-0.5524026
"Psi:(Intercept)",-0.2289216,0.2707015,-0.7594967,0.3016534
"Psi:movement",-0.2773725,0.2825775,-0.8312245,0.2764794
