"","estimate","se","lcl","ucl"
"S:(Intercept)",1.5984957,0.1786903,1.2482627,1.9487287
"p:(Intercept)",0.6608956,0.1744716,0.3189313,1.0028599
"Psi:(Intercept)",1.1006263,3.2032588,-5.177761,7.3790137
"Psi:movement",-4.852129,3.1352622,-10.997243,1.2929851
