"","estimate","se","lcl","ucl"
"S:(Intercept)",1.2873332,0.0157234,1.2565154,1.318151
"S:status2",-0.550868,0.0738958,-0.6957037,-0.4060323
"S:status3",-0.6046354,0.0681387,-0.7381873,-0.4710836
"p:(Intercept)",0.2086897,0.018217,0.1729844,0.244395
"p:status2",-1.5240428,0.0993441,-1.7187571,-1.3293284
"p:status3",-1.1908848,0.0919983,-1.3712016,-1.0105681
"Psi:(Intercept)",-1.9376285,0.0302892,-1.9969954,-1.8782616
"Psi:status2",1.5351764,0.1262946,1.2876389,1.7827138
"Psi:status3",1.2930563,0.1185876,1.0606246,1.525488
