"","estimate","se","lcl","ucl"
"S:(Intercept)",0.9241713,0.6824943,-0.4135175,2.2618601
"p:(Intercept)",-2.5276954,0.8971955,-4.2861986,-0.7691921
"Psi:(Intercept)",1.8307574,1.2799312,-0.6779078,4.3394225
