"","estimate","se","lcl","ucl","fixed","note"
"S s1 gBA c130 c1 a0 o1 t130",0.629283,0.0456437,0.53635,0.7135374,"     ","                    "
"p s1 gBA c130 c1 a1 o1 t131",0.2227447,0.0457992,0.1457619,0.3249207,"     ","                    "
"Psi s1 to2 gBA c130 c1 a0 o1 t130",0.1239522,0.0549168,0.0498896,0.2760214,"     ","                    "
"p s1 gBA c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
