"","estimate","se","lcl","ucl","fixed","note"
"S s1 gPL c130 c1 a0 o1 t130",0.4562757,0.0636053,0.3367405,0.581069,"     ","                    "
"p s1 gPL c130 c1 a1 o1 t131",0.4398822,0.1068875,0.2512549,0.6476328,"     ","                    "
"Psi s1 to2 gPL c130 c1 a0 o1 t130",0.1193625,0.0586912,0.0434031,0.2882064,"     ","                    "
"p s1 gPL c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
