"","estimate","se","lcl","ucl","fixed","note"
"S s1 gOL c130 c1 a0 o1 t130",0.7668352,0.0208102,0.7236029,0.8051266,"     ","                    "
"p s1 gOL c130 c1 a1 o1 t131",0.3705123,0.030828,0.3123648,0.4326732,"     ","                    "
"Psi s1 to2 gOL c130 c1 a0 o1 t130",0.2702922,0.0430166,0.1945653,0.3622372,"     ","                    "
"p s1 gOL c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
