"","estimate","se","lcl","ucl"
"S:(Intercept)",1.282475,0.0557891,1.1731285,1.3918216
"p:(Intercept)",-1.2167295,0.0663416,-1.346759,-1.0866999
"Psi:(Intercept)",-2.7822555,0.154252,-3.0845893,-2.4799217
