"","estimate","se","lcl","ucl","fixed","note"
"S s1 gSH c130 c1 a0 o1 t130",0.4535798,0.0377183,0.3811901,0.5279872,"     ","                    "
"p s1 gSH c130 c1 a1 o1 t131",0.3839345,0.0581064,0.2780045,0.5021546,"     ","                    "
"Psi s1 to2 gSH c130 c1 a0 o1 t130",0.0912742,0.0343346,0.0427162,0.1843984,"     ","                    "
"Psi s2 to1 gSH c130 c1 a0 o1 t130",0.6794748,0.2500879,0.1825273,0.952666,"     ","                    "
"p s1 gSH c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
