"","estimate","se","lcl","ucl"
"S:(Intercept)",1.0797784,0.0381382,1.0050275,1.1545294
"p:(Intercept)",0.5523144,0.0489455,0.4563812,0.6482476
"Psi:(Intercept)",0.6385452,0.3436965,-0.0350999,1.3121903
"Psi:movement",-3.8511107,0.343442,-4.524257,-3.1779645
