"","estimate","se","lcl","ucl"
"S:(Intercept)",0.5193119,0.111821,0.3001429,0.738481
"p:(Intercept)",-0.7498829,0.156986,-1.0575755,-0.4421903
"Psi:(Intercept)",-1.8682922,0.2607035,-2.3792709,-1.3573134
