"","estimate","se","lcl","ucl"
"S:(Intercept)",1.1784131,0.0145096,1.1499743,1.2068519
"p:(Intercept)",0.0975193,0.0175218,0.0631765,0.1318621
"Psi:(Intercept)",-1.8141218,0.0280891,-1.8691765,-1.7590672
