"","estimate","se","lcl","ucl"
"S:(Intercept)",1.3441075,0.0803268,1.1866669,1.5015481
"p:(Intercept)",-0.6885276,0.091096,-0.8670758,-0.5099793
"Psi:(Intercept)",-2.2521171,0.1811839,-2.6072375,-1.8969967
