"","estimate","se","lcl","ucl"
"S:(Intercept)",0.8589685,0.3371566,0.1981416,1.5197954
"p:(Intercept)",-1.3115347,0.43712,-2.1682899,-0.4547794
"Psi:(Intercept)",-1.8847932,1.1855143,-4.2084013,0.4388149
"Psi:movement",0.9892843,1.2001541,-1.3630177,3.3415864
