"","estimate","se","lcl","ucl","fixed","note"
"S s1 gSO c130 c1 a0 o1 t130",0.7024451,0.0704711,0.549374,0.8205084,"     ","                    "
"p s1 gSO c130 c1 a1 o1 t131",0.2122301,0.0730814,0.1026344,0.388225,"     ","                    "
"Psi s1 to2 gSO c130 c1 a0 o1 t130",0.2899743,0.1336815,0.1026506,0.5931726,"     ","                    "
"Psi s2 to1 gSO c130 c1 a0 o1 t130",0.1318393,0.1356912,0.0146522,0.6079766,"     ","                    "
"p s1 gSO c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
