"","estimate","se","lcl","ucl","fixed","note"
"S s1 gDM c130 c1 a0 o1 t130",0.7968585,0.0042826,0.7883353,0.8051233,"     ","                    "
"p s1 gDM c130 c1 a1 o1 t131",0.5985532,0.0069101,0.5849374,0.6120187,"     ","                    "
"Psi s1 to2 gDM c130 c1 a0 o1 t130",0.0566591,0.0035301,0.0501243,0.0639886,"     ","                    "
"Psi s2 to1 gDM c130 c1 a0 o1 t130",0.4332545,0.0376586,0.3614249,0.508003,"     ","                    "
"p s1 gDM c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
