"","estimate","se","lcl","ucl","fixed","note"
"S s1 gDO c130 c1 a0 o1 t130",0.7464521,0.0072181,0.7320459,0.7603373,"     ","                    "
"p s1 gDO c130 c1 a1 o1 t131",0.6346724,0.0113487,0.6121553,0.6566154,"     ","                    "
"Psi s1 to2 gDO c130 c1 a0 o1 t130",0.0386956,0.0046494,0.0305447,0.0489119,"     ","                    "
"Psi s2 to1 gDO c130 c1 a0 o1 t130",0.6544245,0.077728,0.4912259,0.7878794,"     ","                    "
"p s1 gDO c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
