"","estimate","se","lcl","ucl"
"S:(Intercept)",-0.1862066,0.1521853,-0.4844899,0.1120766
"p:(Intercept)",-0.4728971,0.245663,-0.9543966,0.0086024
"Psi:(Intercept)",-2.4170967,0.3894028,-3.1803262,-1.6538671
