"","estimate","se","lcl","ucl"
"S:(Intercept)",0.529142,0.1956556,0.145657,0.912627
"p:(Intercept)",-1.2497424,0.2645373,-1.7682356,-0.7312492
"Psi:(Intercept)",-1.9555244,0.5057351,-2.9467651,-0.9642837
