"","estimate","se","lcl","ucl"
"S:(Intercept)",1.1905267,0.116389,0.9624042,1.4186491
"p:(Intercept)",-0.5300197,0.132177,-0.7890866,-0.2709529
"Psi:(Intercept)",-0.9931407,0.2180988,-1.4206143,-0.5656671
