"","estimate","se","lcl","ucl","fixed","note"
"S s1 gfemale27 c261 c1 a0 o1 t261",0.5602231,0.0457159,0.4696321,0.6469722,"     ","                    "
"S s2 gfemale27 c261 c1 a0 o1 t261",0.9586073,0.0424867,0.7395638,0.9947332,"     ","                    "
"p s1 gfemale27 c261 c1 a1 o1 t262",0.6474131,0.1384915,0.3585994,0.8577618,"     ","                    "
"p s2 gfemale27 c261 c1 a1 o1 t262",0.1519828,0.0316036,0.0997735,0.2246932,"     ","                    "
"Psi s1 to2 gfemale27 c261 c1 a0 o1 t261",NA,0.0999266,0.1566284,0.5327876,"     ","                    "
"Psi s2 to1 gfemale27 c261 c1 a0 o1 t261",NA,0.046625,0.1875841,0.3691563,"     ","                    "
"p s1 gfemale27 c261 c1 a6 o6 t267",0,0,0,0,"     ","   Fixed            "
