"","estimate","se","lcl","ucl","fixed","note"
"S s1 gPF c130 c1 a0 o1 t130",0.7828715,0.0094832,0.7637108,0.8008836,"     ","                    "
"p s1 gPF c130 c1 a1 o1 t131",0.2285116,0.0116956,0.2063999,0.2522393,"     ","                    "
"Psi s1 to2 gPF c130 c1 a0 o1 t130",0.0970881,0.0148904,0.0715624,0.1304396,"     ","                    "
"Psi s2 to1 gPF c130 c1 a0 o1 t130",0.6977196,0.1019554,0.4722712,0.8561844,"     ","                    "
"p s1 gPF c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
