"","estimate","se","lcl","ucl","fixed","note"
"S s1 gPP c130 c1 a0 o1 t130",0.8348803,0.003494,0.8279176,0.8416151,"     ","                    "
"p s1 gPP c130 c1 a1 o1 t131",0.2079423,0.0046643,0.1989484,0.2172325,"     ","                    "
"Psi s1 to2 gPP c130 c1 a0 o1 t130",0.0900259,0.0062637,0.0784801,0.1030803,"     ","                    "
"Psi s2 to1 gPP c130 c1 a0 o1 t130",0.4620596,0.0454256,0.3751341,0.5513546,"     ","                    "
"p s1 gPP c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
