"","estimate","se","lcl","ucl"
"S:(Intercept)",0.5065822,0.0960995,0.3182272,0.6949372
"p:(Intercept)",-0.9469131,0.1351034,-1.2117158,-0.6821104
"Psi:(Intercept)",0.109176,0.1907623,-0.2647181,0.4830702
