"","estimate","se","lcl","ucl"
"S:(Intercept)",1.3667743,0.0264562,1.3149202,1.4186284
"p:(Intercept)",0.3994415,0.0287578,0.3430763,0.4558067
"Psi:(Intercept)",-2.8327941,0.0598299,-2.9500607,-2.7155276
