"","estimate","se","lcl","ucl","fixed","note"
"S s1 gfemale111 c261 c1 a0 o1 t261",0.7836955,0.0026654,0.7784257,0.7888739,"     ","                    "
"S s1 gfemale262 c261 c1 a0 o1 t261",0.6762224,0.0158087,0.6444992,0.7064043,"     ","                    "
"S s1 gfemale153 c261 c1 a0 o1 t261",0.6643405,0.0147843,0.6347734,0.6926729,"     ","                    "
"p s1 gfemale111 c261 c1 a1 o1 t262",0.5519839,0.004505,0.5431386,0.5607964,"     ","                    "
"p s1 gfemale262 c261 c1 a1 o1 t262",0.2115925,0.0162917,0.1814186,0.2452811,"     ","                    "
"p s1 gfemale153 c261 c1 a1 o1 t262",0.2724564,0.0178752,0.2388597,0.3088612,"     ","                    "
"Psi s1 to2 gfemale111 c261 c1 a0 o1 t261",0.1259086,0.0033335,0.1195187,0.1325887,"     ","                    "
"Psi s1 to2 gfemale262 c261 c1 a0 o1 t261",0.4007233,0.0294438,0.3446217,0.4595538,"     ","                    "
"Psi s1 to2 gfemale153 c261 c1 a0 o1 t261",0.3442137,0.025881,0.2954011,0.3965527,"     ","                    "
"p s1 gfemale111 c261 c1 a6 o6 t267",0,0,0,0,"     "," Fixed              "
