"","estimate","se","lcl","ucl","fixed","note"
"S s1 gTR c130 c1 a0 o1 t130",0.6269869,0.0261521,0.5744774,0.6766636,"     ","                    "
"p s1 gTR c130 c1 a1 o1 t131",0.3208468,0.0342079,0.2577731,0.3912192,"     ","                    "
"Psi s1 to2 gTR c130 c1 a0 o1 t130",0.1337395,0.0302033,0.0847671,0.2046773,"     ","                    "
"p s1 gTR c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
