"","estimate","se","lcl","ucl","fixed","note"
"S s1 gDS c130 c1 a0 o1 t130",0.8318095,0.0249993,0.7770006,0.8753092,"     ","                    "
"p s1 gDS c130 c1 a1 o1 t131",0.6594622,0.0391814,0.5790644,0.7316211,"     ","                    "
"Psi s1 to2 gDS c130 c1 a0 o1 t130",0.0174905,0.0101462,0.005565,0.0535946,"     ","                    "
"p s1 gDS c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
