"","estimate","se","lcl","ucl"
"S:(Intercept)",0.5321058,0.053756,0.4267441,0.6374676
"p:(Intercept)",-0.9760981,0.0741229,-1.1213789,-0.8308173
"Psi:(Intercept)",-0.6944079,0.1096881,-0.9093965,-0.4794193
