"","estimate","se","lcl","ucl"
"S:(Intercept)",0.2420676,0.1855556,-0.1216214,0.6057566
"S:stratum2",2.9003097,1.0838567,0.7759504,5.0246689
"p:(Intercept)",0.6076873,0.6067019,-0.5814484,1.7968229
"p:stratum2",-2.3268208,0.7605057,-3.817412,-0.8362295
"Psi:(Intercept)",-0.7760963,0.4629771,-1.6835316,0.1313389
"Psi:stratum2",-0.2247153,0.5547655,-1.3120558,0.8626251
