"","estimate","se","lcl","ucl","fixed","note"
"S s1 gTRANS c130 c1 a0 o1 t130",0.6269865,0.0261521,0.5744771,0.6766633,"     ","                    "
"p s1 gTRANS c130 c1 a1 o1 t131",0.3208468,0.0342079,0.2577731,0.3912192,"     ","                    "
"Psi s1 to2 gTRANS c130 c1 a0 o1 t130",0.15965,0.0368657,0.0998032,0.245593,"     ","                    "
"Psi s2 to1 gTRANS c130 c1 a0 o1 t130",0.6520096,0.1549554,0.3294471,0.8772299,"     ","                    "
"p s1 gTRANS c130 c1 a107 o107 t237",0,0,0,0,"Fixed",""
