"","estimate","se","lcl","ucl"
"S:(Intercept)",0.7882854,0.0229158,0.7433705,0.8332003
"S:stratum2",1.3615035,0.0841428,1.1965836,1.5264235
"p:(Intercept)",1.9808902,0.0970517,1.7906689,2.1711114
"p:stratum2",-3.8377643,0.1164208,-4.0659491,-3.6095794
"Psi:(Intercept)",-1.1944486,0.0487345,-1.2899682,-1.0989291
"Psi:stratum2",0.0781801,0.0573803,-0.0342853,0.1906455
