yr,mo,period,Treatment_Number,plot,stake,east,north,species,sex,reprod,vagina,nipples,pregnant,wgt,tag,note2,ltag,note3,note5
2005,8,326,1,1,36,681238.103,3535269.139,NAO,F,,,,,172,2A1024,*,0,,
2006,1,332,1,1,37,681244.259,3535269.457,NAO,F,,,E,,208,2A1024,,0,,
2006,5,336,1,1,37,681244.259,3535269.457,NAO,F,,,E,,196,2A1024,,0,,
2001,5,276,1,1,37,681244.259,3535269.457,NAO,M,,,,,94,,,0,,E
2001,10,281,1,1,47,681244.481,3535263.106,NAO,M,,,,,188,796,,0,,
2008,6,362,1,1,47,681244.481,3535263.106,NAO,M,,,,,230,918,,919,,
2007,8,351,1,1,47,681244.481,3535263.106,NAO,F,,,,,264,7A5D74,,,,
2009,12,380,1,1,47,681244.481,3535263.106,NAO,M,,,,,192,000956,,000919,,
2006,3,333,1,1,47,681244.481,3535263.106,NAO,F,,,E,,180,2A1024,,0,,
2008,6,361,1,1,47,681244.481,3535263.106,NAO,M,,,,,240,918,,919,,
2008,2,357,1,1,47,681244.481,3535263.106,NAO,F,,,,,270,7A5D74,,,,
2009,2,370,1,1,47,681244.481,3535263.106,NAO,M,,,,,268,,,919,,
2002,5,288,1,1,47,681244.481,3535263.106,NAO,M,,,,,205,715,,0,,
2009,9,377,1,1,47,681244.481,3535263.106,NAO,M,,,,,225,000956,,000919,,
2009,6,374,1,1,47,681244.481,3535263.106,NAO,M,,,,,230,000956,*,000919,,
2004,6,313,1,1,47,681244.481,3535263.106,NAO,M,J,,,,83,592B37,*,0,,
2000,9,269,1,1,47,681244.481,3535263.106,NAO,M,,,,,171,639,*,0,,
2008,3,358,1,1,47,681244.481,3535263.106,NAO,M,,,,,238,918,*,919,*,
2001,9,280,1,1,46,681238.268,3535263.069,NAO,M,,,,,187,796,*,0,,
2007,11,354,1,1,41,681207.417,3535262.895,NAO,F,,,,,270,7A5D74,,,,
2007,1,344,1,1,52,681213.654,3535256.386,NAO,F,,,E,,226,2A1024,,,,
2007,9,352,1,1,56,681238.301,3535256.891,NAO,F,,,,,238,7A5D74,,,,
2008,12,368,1,1,57,681244.668,3535257.056,NAO,M,,,,,256,,,919,,
2001,5,276,1,1,57,681244.668,3535257.056,NAO,F,,,E,,171,618,*,,,
2002,5,288,1,1,57,681244.668,3535257.056,NAO,F,,,,,138,771,*,0,,
2001,12,283,1,1,57,681244.668,3535257.056,NAO,M,,,,,231,796,,0,,
2002,4,287,1,1,57,681244.668,3535257.056,NAO,M,,,,,227,715,*,0,,E
2001,6,277,1,1,57,681244.668,3535257.056,NAO,F,,,E,,159,618,,0,,
2003,2,296,1,1,57,681244.668,3535257.056,NAO,F,,,,,194,709,,0,,
2007,6,349,1,1,66,681238.427,3535250.564,NAO,F,,,E,,244,7A5D74,*,,,
2003,6,301,1,1,64,681226.021,3535250.528,NAO,F,,,E,,165,709,,0,,
2006,5,336,1,1,73,681219.928,3535244.066,NAO,M,J,,,,58,4B0175,*,0,,
2007,4,347,1,1,77,681244.686,3535244.516,NAO,F,,,E,,242,2A1024,,,,
2002,12,294,1,1,77,681244.686,3535244.516,NAO,F,,,E,,196,709,*,0,,
2003,11,306,1,1,77,681244.686,3535244.516,NAO,F,,,E,,174,709,,0,,
2007,5,348,1,2,11,681282.383,3535282.931,NAO,F,,,,,154,,,,,
2008,5,360,1,2,16,681313.302,3535283.663,NAO,F,,,,,130,913,*,914,*,
2000,1,261,1,2,16,681313.302,3535283.663,NAO,F,,,E,,181,,,0,,
2009,3,371,1,2,16,681313.302,3535283.663,NAO,F,,,E,,170,000913,,000914,,
2009,8,376,1,2,16,681313.302,3535283.663,NAO,F,,,E,,182,000913,,000916,,
2009,10,378,1,2,17,681319.771,3535283.868,NAO,F,,,,,160,000913,,000914,,
2000,3,263,1,2,17,681319.771,3535283.868,NAO,M,,,,,184,544,*,0,,
2000,12,271,1,2,17,681319.771,3535283.868,NAO,F,,,,,173,535,,0,,
2000,6,265,1,2,17,681319.771,3535283.868,NAO,F,,,,,158,535,,0,,
2001,6,277,1,2,17,681319.771,3535283.868,NAO,F,,,,,173,637,,0,,
2009,2,370,1,2,17,681319.771,3535283.868,NAO,F,,,E,,172,913,,914,,
2009,4,372,1,2,17,681319.771,3535283.868,NAO,F,,,E,,158,000913,,000914,,
