species,family
DS,Heteromyidae
DM,Heteromyidae
DO,Heteromyidae
PH,Heteromyidae
PB,Heteromyidae
PI,Heteromyidae
PP,Heteromyidae
PF,Heteromyidae
NAO,Cricetidae
RO,Cricetidae
RM,Cricetidae
RF,Cricetidae
OT,Cricetidae
OL,Cricetidae
PM,Cricetidae
PL,Cricetidae
PE,Cricetidae
BA,Cricetidae
SO,Cricetidae
SH,Cricetidae
SF,Cricetidae
