yr,mo,period,Treatment_Number,plot,stake,east,north,species,sex,reprod,vagina,nipples,pregnant,wgt,tag,note2,ltag,note3,note5
2007,3,346,1,1,12,681213.545,3535281.561,PE,F,,,E,P,26,495767,,,,
2007,10,353,1,1,12,681213.545,3535281.561,RM,F,,,E,,16,4C3255,*,,,
2004,12,319,1,1,13,681219.887,3535281.58,PE,F,,,,P,30,4B3901,*,0,,
2009,3,371,1,1,17,681244.224,3535281.574,RM,F,,,,,10,013D1F,*,,,
2003,3,298,1,1,17,681244.224,3535281.574,RM,F,,,,P,10,6B3D7C,*,0,,
2003,9,304,1,1,25,681231.759,3535275.599,RM,F,,,,,11,776D1A,*,0,,
2007,6,349,1,1,24,681225.799,3535275.502,RM,M,,,,,10,1D2A74,*,,,
2009,2,370,1,1,24,681225.799,3535275.502,RM,F,,,,P,13,2D723E,*,,,
2000,11,270,1,1,23,681219.845,3535275.802,PE,F,,,B,,24,58485A,*,0,,
2003,3,298,1,1,21,681207.087,3535275.669,PE,F,,,E,,19,127145,*,0,,
2007,2,345,1,1,21,681207.087,3535275.669,PE,F,,,,,22,495767,,,,
2003,11,306,1,1,32,681213.662,3535268.777,PE,M,,,,,17,5B105D,*,0,,
2008,1,356,1,1,37,681244.259,3535269.457,RM,M,,,,,10,246865,*,,,
2008,5,360,1,1,47,681244.481,3535263.106,RM,F,,,,,11,557439,*,,,
2007,4,347,1,1,45,681231.903,3535263.263,PE,F,,,,,28,495767,,,,
2007,8,351,1,1,56,681238.301,3535256.891,PE,F,,,,,21,4E1148,*,,,
2008,5,360,1,1,67,681244.749,3535250.674,PE,F,,,,,24,316A11,*,,,
2006,1,332,1,1,67,681244.749,3535250.674,PE,F,,,,,24,0C1537,,0,,
2008,10,366,1,1,66,681238.427,3535250.564,PE,F,,,,,21,361E27,*,,,
2008,3,358,1,1,65,681232.22,3535250.525,PM,F,,,,,25,1D107B,*,,,
2008,4,359,1,1,71,681207.528,3535244.181,PM,F,,,,,28,1D107B,,,,
2008,5,360,1,1,72,681214.223,3535243.863,PM,F,,,,,22,1D107B,,,,
2003,10,305,1,1,72,681214.223,3535243.863,PE,M,,,,,18,453D68,*,0,,D
2007,8,351,1,1,72,681214.223,3535243.863,PM,M,,,,,,1B5756,*,,,
2008,3,358,1,1,76,681238.39,3535244.439,PM,M,,,,,26,022B13,,,,
2008,1,356,1,1,76,681238.39,3535244.439,RM,M,,,,,10,1B6935,*,,,
2007,7,350,1,1,76,681238.39,3535244.439,PE,F,,,,,17,6C531B,*,,,
2007,12,355,1,1,77,681244.686,3535244.516,PM,F,,,,,20,,,,,
2008,3,358,1,1,77,681244.686,3535244.516,RM,M,,,,,12,592941,*,,,
2003,3,297,1,2,12,681288.653,3535283.029,PE,M,,,,,23,2B635E,*,0,,
2007,10,353,1,2,14,681301,3535283.438,PM,M,,,,,21,002728,*,,,
2007,12,355,1,2,16,681313.302,3535283.663,PE,F,,,,,22,4E1148,,,,
2000,11,270,1,2,16,681313.302,3535283.663,RM,M,,,,,12,7D6003,*,0,,
2008,4,359,1,2,17,681319.771,3535283.868,PM,F,,,E,,34,3C652B,,,,
2003,3,297,1,2,17,681319.771,3535283.868,PE,F,,,E,P,28,46546D,,0,,
2004,11,318,1,2,27,681320.188,3535277.513,PE,M,,,,,15,1D0476,*,0,,
2007,6,349,1,2,27,681320.188,3535277.513,PE,M,,,,,20,75537B,*,,,
2003,3,297,1,2,26,681313.751,3535277.325,PE,F,,,,,22,064C71,*,0,,
2004,11,318,1,2,26,681313.751,3535277.325,PE,F,,,,,17,746967,*,0,,
2007,12,355,1,2,25,681307.474,3535277.201,RM,F,,,,,8,5C2561,*,,,
2007,12,355,1,2,22,681288.739,3535276.854,PE,M,,,,,19,323A5B,*,,,
2008,3,358,1,2,32,681288.897,3535270.63,PM,M,,,,,26,002728,,,,
2003,3,297,1,2,33,681294.945,3535271.105,PE,F,,,,,24,50765D,,0,,
2007,6,349,1,2,34,681301.497,3535271.386,PM,F,,,E,P,36,447944,*,,,
2008,2,357,1,2,35,681307.488,3535271.816,PM,M,,,,,26,002728,,,,
2008,11,367,1,2,35,681307.488,3535271.816,PE,F,J,,,,12,196C3B,*,,,
2003,3,297,1,2,36,681313.684,3535272.025,PE,M,J,,,,22,4D1935,*,0,,
2003,5,299,1,2,36,681313.684,3535272.025,PE,F,,,E,P,29,50765D,,0,,
2006,12,343,1,2,36,681313.684,3535272.025,PE,M,,,,,20,74472,*,0,,
2008,12,368,1,2,36,681313.684,3535272.025,PE,F,,,,,21,307A0B,,,,
2002,12,294,1,2,36,681313.684,3535272.025,PE,F,,,E,,28,46546D,,0,,
2002,6,289,1,2,37,681320.142,3535272.214,PE,F,,,,,25,46546D,,0,,
2003,9,304,1,2,37,681320.142,3535272.214,PE,M,,,,,16,354041,,0,,
2005,9,328,1,2,37,681320.142,3535272.214,PE,M,,,,,18,3D5E48,*,0,,
2006,3,334,1,2,47,681320.378,3535265.086,PE,M,,,,,23,223C2C,,0,,
2003,7,302,1,2,47,681320.378,3535265.086,PE,F,,,,,13,68223A,*,0,,
2005,1,320,1,2,47,681320.378,3535265.086,PE,F,,,,,20,746967,,0,,
2006,3,333,1,2,47,681320.378,3535265.086,PE,F,,,,,24,1A105F,,0,,
2003,10,305,1,2,47,681320.378,3535265.086,PE,F,,,,,17,670F69,*,0,,
2001,12,283,1,2,47,681320.378,3535265.086,PE,F,,,,,20,125263,*,0,,
2004,2,309,1,2,47,681320.378,3535265.086,PE,M,,,,,24,5B105D,,0,,
2005,12,330,1,2,47,681320.378,3535265.086,PE,M,,,,,21,223C2C,,0,,
