yr,mo,period,Treatment_Number,plot,stake,east,north,species,sex,reprod,vagina,nipples,pregnant,wgt,tag,note2,ltag,note3,note5
2007,11,354,1,1,11,681207.279,3535281.37,OL,F,,,,,30,0F6B41,*,,,
2003,12,307,1,1,11,681207.279,3535281.37,OT,M,,,,,22,0E401E,,0,,
2003,8,303,1,1,11,681207.279,3535281.37,OT,F,,,E,,23,081A00,,0,,
2003,6,301,1,1,11,681207.279,3535281.37,OT,M,,,,,27,0E401E,,0,,
2003,5,300,1,1,12,681213.545,3535281.561,OT,F,J,,,,11,081A00,*,0,,
2005,12,330,1,1,12,681213.545,3535281.561,OT,M,,,,,24,552450,,0,,
2007,8,351,1,1,13,681219.887,3535281.58,OT,M,,,,,21,2F3102,,,,
2003,11,306,1,1,13,681219.887,3535281.58,OT,F,,,,,26,04410A,*,0,,
2002,12,294,1,1,14,681225.779,3535281.675,OT,M,,,,,14,454C5C,,0,,
2005,9,327,1,1,15,681231.824,3535281.682,OT,F,,,,,21,3A5752,*,0,,
2000,9,269,1,1,16,681238.275,3535281.498,OT,M,,,,,25,0B6126,,0,,
2007,10,353,1,1,16,681238.275,3535281.498,OT,F,,,,,26,4D7609,*,,,
2003,7,302,1,1,24,681225.799,3535275.502,OT,F,,,,,27,081A00,,0,,
2003,11,306,1,1,24,681225.799,3535275.502,OT,F,,,,,22,081A00,,0,,D
2007,12,355,1,1,24,681225.799,3535275.502,OT,F,,,,,21,522E49,,,,
2005,11,329,1,1,24,681225.799,3535275.502,OT,M,,,,,27,552450,,0,,
2003,3,298,1,1,24,681225.799,3535275.502,OT,M,,,,,24,454C5C,,0,,
2003,8,303,1,1,23,681219.845,3535275.802,OT,F,J,,,,11,7D6A65,*,0,,
2003,2,296,1,1,22,681213.715,3535275.366,OT,M,,,,,27,454C5C,,0,,
2002,12,294,1,1,21,681207.087,3535275.669,OT,F,,,,,19,463239,,0,,
2000,8,268,1,1,33,681219.906,3535269.201,OT,M,,,,,22,51251C,*,0,,
2007,7,350,1,1,33,681219.906,3535269.201,OT,M,,,,,16,2F3102,*,,,
2004,3,310,1,1,33,681219.906,3535269.201,OT,M,J,,,,12,330D64,*,0,,
2004,12,319,1,1,34,681225.905,3535269.238,OT,M,,,,,24,10056A,,0,,
2003,10,305,1,1,35,681231.865,3535269.345,OT,F,,,,,21,081A00,,0,,
2009,11,379,1,1,35,681231.865,3535269.345,OL,M,,,,,32,000821,*,000822,*,
2003,9,304,1,1,36,681238.103,3535269.139,OT,M,,,,,21,0E401E,,0,,
2003,11,306,1,1,36,681238.103,3535269.139,OT,M,,,,,25,4A0051,,0,,
2007,11,354,1,1,36,681238.103,3535269.139,OT,F,,,,,23,4D7609,,,,
2007,6,349,1,1,36,681238.103,3535269.139,OT,F,,,E,,25,202855,*,,,
2006,1,332,1,1,36,681238.103,3535269.139,OL,M,,,,,29,1F364B,,0,,
2003,3,298,1,1,37,681244.259,3535269.457,OT,F,,,,P,25,6C0F4A,,0,,
2007,7,350,1,1,46,681238.268,3535263.069,OT,M,,,,,26,250F0C,,,,
2000,12,271,1,1,46,681238.268,3535263.069,OT,F,,,,,,69522A,,0,,
2000,12,271,1,1,43,681219.912,3535262.786,OT,M,,,,,24,51251C,,0,,
2000,9,269,1,1,42,681213.2,3535263.249,OT,F,,,,,19,67327F,*,0,,
2007,11,354,1,1,41,681207.417,3535262.895,OT,F,,,,,20,522E49,*,,,
2009,9,377,1,1,41,681207.417,3535262.895,OT,M,,,,,23,000704,*,000703,*,
